# minplus histogram
# N=13  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000040480050  wall=5.867s
value,count
0,49796
1,3709
2,2312
3,1702
4,1287
5,1153
6,954
7,881
8,799
9,721
10,617
11,593
12,580
13,546
14,525
15,480
16,424
17,416
18,404
19,347
20,357
21,364
22,303
23,319
24,315
25,296
26,278
27,286
28,309
29,291
30,274
31,256
32,265
33,231
34,237
35,219
36,227
37,209
38,217
39,182
40,214
41,206
42,164
43,194
44,187
45,187
46,158
47,168
48,159
49,180
50,174
51,156
52,147
53,164
54,145
55,156
56,144
57,151
58,155
59,176
60,144
61,129
62,123
63,124
64,138
65,135
66,120
67,130
68,114
69,106
70,109
71,136
72,128
73,121
74,114
75,100
76,125
77,97
78,132
79,103
80,124
81,126
82,113
83,121
84,101
85,107
86,96
87,97
88,111
89,96
90,89
91,94
92,89
93,73
94,94
95,93
96,100
97,85
98,81
99,81
100,75
101,86
102,101
103,96
104,85
105,81
106,77
107,94
108,79
109,91
110,74
111,73
112,70
113,73
114,89
115,101
116,69
117,66
118,88
119,71
120,93
121,78
122,64
123,67
124,73
125,73
126,74
127,59
128,71
129,72
130,64
131,73
132,79
133,67
134,58
135,59
136,63
137,75
138,64
139,57
140,91
141,73
142,59
143,62
144,63
145,70
146,61
147,58
148,64
149,57
150,63
151,37
152,64
153,70
154,56
155,57
156,54
157,62
158,51
159,60
160,53
161,52
162,48
163,48
164,39
165,74
166,52
167,51
168,53
169,47
170,57
171,55
172,73
173,57
174,55
175,48
176,58
177,45
178,54
179,57
180,42
181,51
182,40
183,44
184,62
185,39
186,42
187,52
188,40
189,46
190,34
191,50
192,47
193,40
194,48
195,37
196,50
197,49
198,44
199,45
200,47
201,42
202,41
203,47
204,50
205,54
206,49
207,44
208,45
209,26
210,42
211,40
212,36
213,38
214,41
215,48
216,45
217,43
218,38
219,40
220,32
221,37
222,41
223,36
224,38
225,37
226,37
227,37
228,26
229,47
230,25
231,50
232,31
233,46
234,40
235,30
236,38
237,46
238,43
239,48
240,42
241,37
242,32
243,32
244,35
245,45
246,25
247,32
248,34
249,33
250,38
251,32
252,47
253,29
254,37
255,40
256,27
257,28
258,42
259,42
260,31
261,39
262,36
263,29
264,23
265,35
266,30
267,29
268,30
269,34
270,34
271,36
272,31
273,33
274,44
275,34
276,36
277,35
278,37
279,26
280,30
281,36
282,33
283,34
284,29
285,31
286,32
287,33
288,33
289,41
290,31
291,32
292,30
293,24
294,16
295,30
296,21
297,22
298,33
299,30
300,30
301,28
302,34
303,19
304,23
305,38
306,25
307,27
308,23
309,36
310,38
311,34
312,33
313,31
314,27
315,23
316,25
317,31
318,34
319,23
320,30
321,32
322,28
323,28
324,26
325,29
326,21
327,24
328,26
329,21
330,26
331,27
332,34
333,20
334,29
335,28
336,24
337,22
338,21
339,19
340,25
341,30
342,34
343,24
344,21
345,13
346,23
347,21
348,23
349,27
350,26
351,20
352,21
353,27
354,25
355,24
356,30
357,25
358,10
359,25
360,20
361,34
362,25
363,29
364,20
365,29
366,27
367,32
368,27
369,20
370,17
371,29
372,28
373,26
374,20
375,25
376,23
377,17
378,28
379,14
380,18
381,25
382,16
383,16
384,21
385,26
386,21
387,23
388,17
389,17
390,21
391,21
392,17
393,19
394,16
395,23
396,19
397,30
398,17
399,23
400,16
401,19
402,25
403,23
404,17
405,16
406,17
407,26
408,14
409,18
410,20
411,16
412,23
413,15
414,19
415,23
416,20
417,21
418,24
