# minplus histogram
# N=25  p=0.4916666667  q=0.0000000000  M=100000  leaves=5  seed=0x0000000000706005  wall=25808.799s
value,count
1,4980
2,2970
3,2222
4,1749
5,1442
6,1258
7,1143
8,946
9,854
10,841
11,728
12,692
13,621
14,528
15,533
16,543
17,525
18,469
19,463
20,437
21,422
22,402
23,393
24,380
25,363
26,352
27,353
28,305
29,310
30,307
31,279
32,296
33,304
34,256
35,259
36,232
37,250
38,224
39,241
40,214
41,220
42,231
43,181
44,181
45,219
46,207
47,206
48,200
49,198
50,195
51,175
52,195
53,160
54,170
55,184
56,175
57,161
58,180
59,162
60,159
61,167
62,156
63,155
64,126
65,160
66,137
67,145
68,129
69,153
70,164
71,146
72,116
73,141
74,151
75,128
76,119
77,126
78,134
79,132
80,120
81,117
82,127
83,127
84,126
85,130
86,137
87,130
88,119
89,118
90,113
91,110
92,101
93,112
94,101
95,107
96,128
97,97
98,107
99,102
100,99
101,103
102,103
103,107
104,96
105,105
106,100
107,82
108,97
109,104
110,92
111,100
112,74
113,82
114,98
115,74
116,86
117,82
118,88
119,82
120,72
121,86
122,102
123,91
124,97
125,82
126,82
127,83
128,76
129,65
130,68
131,81
132,92
133,90
134,95
135,64
136,78
137,75
138,71
139,79
140,84
141,76
142,74
143,83
144,67
145,64
146,75
147,61
148,59
149,63
150,70
151,69
152,65
153,67
154,56
155,77
156,59
157,73
158,75
159,61
160,61
161,71
162,66
163,64
164,61
165,54
166,76
167,68
168,63
169,60
170,59
171,67
172,53
173,70
174,49
175,55
176,53
177,65
178,59
179,73
180,52
181,54
182,47
183,52
184,69
185,62
186,48
187,46
188,56
189,56
190,54
191,50
192,62
193,55
194,49
195,56
196,51
197,62
198,38
199,49
200,59
201,42
202,48
203,46
204,46
205,42
206,47
207,42
208,54
209,54
210,44
211,52
212,42
213,46
214,57
215,41
216,55
217,55
218,54
219,34
220,57
221,35
222,38
223,47
224,38
225,46
226,44
227,44
228,43
229,50
230,49
231,44
232,42
233,43
234,49
235,41
236,37
237,46
238,42
239,43
240,44
241,48
242,50
243,43
244,40
245,41
246,57
247,50
248,59
249,37
250,38
251,36
252,33
253,39
254,40
255,41
256,31
257,33
258,43
259,43
260,46
261,36
262,40
263,44
264,37
265,37
266,43
267,37
268,26
269,44
270,40
271,32
272,33
273,29
274,34
275,34
276,36
277,50
278,31
279,42
280,35
281,34
282,43
283,37
284,32
285,32
286,43
287,42
288,30
289,31
290,38
291,41
292,43
293,32
294,29
295,38
296,39
297,33
298,35
299,39
300,39
301,34
302,28
303,27
304,39
305,42
306,31
307,33
308,37
309,19
310,36
311,30
312,27
313,45
314,42
315,37
316,28
317,33
318,39
319,29
320,30
321,28
322,42
323,30
324,28
325,30
326,32
327,35
328,41
329,26
330,24
331,33
332,25
333,18
334,39
335,31
336,36
337,50
338,34
339,24
340,41
341,26
342,28
343,27
344,21
345,32
346,27
347,32
348,27
349,25
350,26
351,23
352,27
353,31
354,24
355,25
356,39
357,37
358,21
359,29
360,30
361,38
362,28
363,25
364,26
365,25
366,26
367,32
368,33
369,27
370,38
371,29
372,32
373,29
374,26
375,34
376,23
377,29
378,25
379,31
380,27
381,30
382,23
383,39
384,34
385,36
386,28
387,34
388,17
389,29
390,27
391,28
392,29
393,28
394,25
395,22
396,20
397,31
398,40
399,24
400,31
401,24
402,28
403,27
404,33
405,26
406,26
407,33
408,22
409,24
410,23
411,22
412,26
413,25
414,24
415,21
416,20
417,19
418,26
419,15
420,25
421,22
422,33
423,32
424,24
425,24
426,25
427,24
428,23
429,22
430,26
431,29
432,23
433,28
434,20
435,19
436,26
437,33
438,24
439,23
440,35
441,25
442,24
443,21
444,28
445,22
446,18
447,29
448,31
449,24
450,16
451,22
452,18
453,23
454,20
455,22
456,20
457,22
458,21
459,23
460,21
461,16
462,23
463,26
464,28
465,23
466,31
467,22
468,28
469,22
470,20
471,21
472,24
473,22
474,18
475,21
476,18
477,24
478,23
479,27
480,19
481,21
482,21
483,26
484,26
485,29
486,22
487,13
488,24
489,20
490,18
491,13
492,21
493,23
494,26
495,18
496,22
497,23
498,14
499,17
500,16
501,22
502,36
503,16
504,19
505,18
506,28
507,20
508,20
509,26
510,15
511,20
512,17
513,28
514,17
515,16
516,16
517,21
518,17
519,23
520,20
521,18
522,15
523,29
524,19
525,26
526,25
527,23
528,19
529,14
530,23
531,20
532,18
533,18
534,15
535,20
536,25
537,18
538,13
539,28
540,19
541,17
542,12
543,20
544,18
545,24
546,22
547,19
548,19
549,24
550,15
551,21
552,22
553,16
554,17
555,16
556,21
557,17
558,26
559,19
560,18
561,16
562,19
563,17
564,15
565,25
566,18
567,18
568,19
569,21
570,18
571,16
572,22
573,23
574,19
575,17
576,22
577,16
578,17
579,18
580,20
581,17
582,22
583,16
584,15
585,22
586,15
587,18
588,20
589,20
590,19
591,22
592,20
593,21
594,21
595,13
596,15
597,21
598,16
599,25
600,20
601,13
602,20
603,10
604,9
605,23
606,16
607,18
608,16
609,15
610,34
611,22
612,15
613,17
614,23
615,23
616,11
617,10
618,13
619,13
620,14
621,17
622,13
623,12
624,12
625,13
626,21
627,20
628,14
629,18
630,20
631,19
632,19
633,26
634,17
635,16
636,17
637,25
638,17
639,15
640,20
641,26
642,16
643,24
644,21
645,14
646,16
647,20
648,20
649,19
650,22
651,11
652,15
653,13
654,25
655,14
656,16
657,13
658,17
659,13
660,17
661,23
662,18
663,19
664,9
665,9
666,17
667,20
668,11
669,12
670,26
671,18
672,13
673,17
674,9
675,18
676,21
677,14
678,16
679,22
680,18
681,10
682,14
683,22
684,22
685,20
686,11
687,11
688,16
689,21
690,17
691,18
692,9
693,21
694,13
695,26
696,26
697,13
698,24
699,16
700,23
701,20
702,12
703,27
704,18
705,9
706,16
707,13
708,23
709,16
710,15
711,14
712,13
713,17
714,20
715,13
716,13
717,20
718,13
719,17
720,8
721,15
722,13
723,18
724,18
725,15
726,13
727,11
728,22
729,11
730,15
731,19
732,17
733,13
734,13
735,11
736,14
737,21
738,21
739,14
740,14
741,11
742,11
743,14
744,22
745,14
746,22
747,28
748,10
749,17
750,19
751,12
752,15
753,9
754,14
755,13
756,11
757,13
758,16
759,18
760,12
761,10
762,16
763,11
764,23
765,12
766,13
767,11
768,13
769,19
770,13
771,17
772,14
773,11
774,12
775,12
776,11
777,12
778,16
779,12
780,7
781,15
782,12
783,15
784,14
785,15
786,16
787,16
788,14
789,11
790,15
791,15
792,16
793,11
794,15
795,20
796,19
797,12
798,11
799,10
800,14
801,12
802,15
803,16
804,16
805,13
806,12
807,12
808,12
809,7
810,11
811,15
812,17
813,18
814,11
815,13
816,16
817,19
818,13
819,15
820,10
821,10
822,14
823,9
824,18
825,13
826,8
827,12
828,12
829,8
830,15
831,12
832,13
833,22
834,12
835,11
836,13
837,20
838,11
839,10
840,14
841,16
842,18
843,11
844,9
845,14
846,13
847,17
848,9
849,7
850,11
851,10
852,11
853,16
854,7
855,13
856,20
857,18
