# minplus histogram
# N=25  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000040600075  wall=23533.281s
value,count
0,74966
1,2872
2,1803
3,1335
4,1054
5,908
6,753
7,636
8,581
9,517
10,482
11,441
12,410
13,380
14,397
15,331
16,314
17,299
18,296
19,250
20,241
21,269
22,249
23,273
24,229
25,208
26,193
27,194
28,194
29,203
30,172
31,172
32,156
33,167
34,167
35,165
36,153
37,144
38,131
39,135
40,131
41,121
42,109
43,133
44,114
45,101
46,111
47,113
48,114
49,101
50,111
51,95
52,100
53,107
54,107
55,85
56,90
57,80
58,85
59,82
60,81
61,86
62,84
63,89
64,86
65,82
66,82
67,73
68,57
69,65
70,71
71,59
72,63
73,57
74,57
75,65
76,73
77,67
78,67
79,59
80,54
81,59
82,47
83,48
84,53
85,46
86,62
87,41
88,48
89,51
90,51
91,49
92,45
93,38
94,48
95,49
96,43
97,39
98,32
99,45
100,28
101,36
102,45
103,43
104,40
105,39
106,39
107,37
108,46
109,36
110,33
111,35
112,33
113,36
114,28
115,30
116,28
117,34
118,31
119,26
120,30
121,29
122,23
123,30
124,28
125,28
126,24
127,29
128,29
129,23
130,26
131,22
132,25
133,34
134,19
135,21
136,18
137,32
138,24
139,17
140,21
141,23
142,14
143,19
144,14
145,21
146,13
147,27
148,14
149,18
150,17
151,11
152,24
153,23
154,24
155,19
156,18
157,26
158,17
159,12
160,20
161,30
162,14
163,6
164,14
165,15
166,20
167,17
168,23
169,18
170,12
171,13
172,12
173,21
174,19
175,14
176,17
177,15
178,11
179,7
180,13
181,7
182,16
183,17
184,11
185,12
186,14
187,7
188,12
189,11
190,8
191,11
192,5
193,9
194,10
195,11
196,8
197,10
198,11
199,10
200,8
201,12
202,9
203,9
204,7
205,5
206,8
207,12
208,13
209,11
210,5
211,6
212,6
213,5
214,4
215,12
216,3
217,4
218,7
219,4
220,6
221,6
222,8
223,8
224,7
225,10
226,5
227,7
228,7
229,5
230,3
231,5
232,9
233,5
234,6
235,6
236,4
237,10
238,3
239,3
240,3
241,5
242,7
243,2
244,3
245,4
246,3
247,4
248,3
249,1
250,3
251,7
252,3
253,3
254,2
255,7
256,5
257,8
258,3
259,2
260,2
261,7
262,2
263,5
264,1
265,3
266,8
267,3
268,2
269,7
270,6
271,5
272,3
273,3
274,2
275,1
276,1
277,2
278,1
279,3
280,2
281,5
282,7
283,1
284,2
285,4
286,3
287,1
289,2
290,1
291,4
294,1
295,2
296,2
297,5
298,3
299,2
300,2
301,1
302,2
303,1
305,1
306,1
308,1
309,3
310,4
311,2
312,1
313,1
314,2
315,3
318,1
319,1
320,1
321,2
322,3
323,1
326,1
328,4
331,2
332,2
334,1
335,1
336,1
338,1
343,1
344,1
345,1
347,1
350,1
351,1
352,2
353,1
354,1
355,1
356,1
357,2
359,1
363,1
364,1
369,1
370,1
371,2
372,2
374,1
377,1
378,1
379,1
383,1
385,1
386,2
387,2
389,1
396,2
399,1
400,3
404,1
410,1
413,1
418,1
426,1
427,1
431,1
433,1
443,3
451,2
454,1
459,1
468,2
481,1
491,1
494,1
498,1
522,1
523,1
534,1
576,1
581,1
587,1
