# minplus histogram
# N=20  p=0.5000000000  q=0.0000000000  M=100000  leaves=0  seed=0x0000000020000020  wall=34.618s
value,count
1,7911
2,5029
3,3619
4,2949
5,2554
6,2129
7,1949
8,1726
9,1581
10,1400
11,1306
12,1296
13,1155
14,1096
15,1046
16,1005
17,901
18,891
19,843
20,838
21,831
22,762
23,724
24,691
25,724
26,687
27,629
28,631
29,592
30,587
31,557
32,581
33,507
34,546
35,460
36,475
37,494
38,445
39,456
40,453
41,426
42,419
43,427
44,408
45,371
46,429
47,401
48,370
49,366
50,365
51,369
52,339
53,350
54,350
55,353
56,348
57,332
58,351
59,355
60,316
61,297
62,300
63,294
64,279
65,276
66,289
67,301
68,322
69,282
70,270
71,280
72,254
73,266
74,270
75,269
76,255
77,272
78,238
79,259
80,234
81,246
82,258
83,251
84,247
85,229
86,253
87,223
88,191
89,225
90,235
91,229
92,221
93,200
94,196
95,221
96,213
97,213
98,193
99,203
100,187
101,180
102,186
103,196
104,190
105,197
106,190
107,191
108,176
109,182
110,165
111,180
112,169
113,160
114,185
115,162
116,169
117,164
118,163
119,152
120,156
121,177
122,170
123,152
124,170
125,188
126,162
127,149
128,171
129,190
130,144
131,147
132,153
133,156
134,123
135,150
136,152
137,166
138,144
139,120
140,154
141,151
142,130
143,159
144,138
145,126
146,145
147,130
148,117
149,144
150,126
151,135
152,143
153,142
154,125
155,129
156,125
157,111
158,159
159,135
160,145
161,150
162,133
163,123
164,136
165,114
166,101
167,115
168,119
169,118
170,126
171,106
172,129
173,105
174,99
175,130
176,108
177,105
178,113
179,107
180,115
181,97
182,103
183,105
184,125
185,125
186,104
187,104
188,105
189,109
190,128
191,96
192,103
193,82
194,100
195,114
196,104
197,94
198,90
199,87
200,94
201,95
202,108
203,101
204,99
205,88
206,86
207,81
208,92
209,87
210,107
211,70
212,86
213,103
214,93
215,97
216,89
217,85
218,84
219,89
220,74
221,77
222,81
223,94
224,78
225,86
226,88
227,86
228,82
229,82
230,103
231,69
232,89
233,80
234,71
235,81
236,79
237,81
238,78
239,69
240,70
241,86
242,98
243,68
244,83
245,74
246,68
247,71
248,73
249,81
250,73
251,74
252,74
253,68
254,63
255,57
256,63
257,64
258,60
259,55
260,61
261,61
262,64
263,47
264,68
265,67
266,53
267,73
268,68
269,66
270,83
271,73
272,75
273,66
274,63
275,65
276,59
277,66
278,54
279,56
280,71
281,56
282,47
283,47
284,53
285,56
286,64
287,54
288,55
289,61
290,54
291,61
292,60
293,65
294,57
295,53
296,59
297,63
298,51
299,65
300,63
301,55
302,49
303,59
304,47
305,64
306,41
307,56
308,48
309,53
310,67
311,47
312,52
313,53
314,39
315,47
316,50
317,59
318,45
319,35
320,54
321,48
322,56
323,51
324,37
325,40
326,46
327,50
328,48
329,57
330,38
331,32
332,50
333,43
334,53
335,31
336,43
337,43
338,47
339,41
340,46
341,53
342,60
343,38
344,30
345,39
346,45
347,49
348,42
349,32
350,47
351,36
352,32
353,42
354,34
355,34
356,28
357,36
358,43
359,38
360,34
361,40
362,51
363,39
364,39
365,25
366,32
367,36
368,34
369,38
370,48
371,39
372,32
373,26
374,39
375,29
376,31
377,32
378,40
379,34
380,46
381,38
382,31
383,30
384,32
385,28
386,20
387,37
388,29
389,41
390,26
391,32
392,33
393,26
394,34
395,26
396,35
397,23
398,35
399,38
400,27
401,28
402,24
403,32
404,30
405,32
406,31
407,33
408,23
409,46
410,25
411,37
412,35
413,30
414,21
415,36
416,21
417,36
418,30
419,31
420,31
421,22
422,20
423,34
424,22
425,34
426,27
427,16
428,21
429,23
430,21
431,26
432,16
433,21
434,24
435,21
436,18
437,25
438,32
439,15
440,33
441,15
442,24
443,29
444,22
445,19
446,23
447,30
448,26
449,19
450,21
451,15
452,23
453,29
454,14
455,12
456,28
457,23
458,18
459,19
460,24
461,14
462,21
463,19
464,21
465,17
466,11
467,9
468,18
469,16
470,22
471,19
472,23
473,22
474,20
475,20
476,21
477,21
478,22
479,24
480,19
481,21
482,17
483,21
484,18
485,13
486,17
487,13
488,16
489,24
490,19
491,27
492,22
493,16
494,21
495,17
496,26
497,13
498,9
499,23
500,9
501,17
502,20
503,9
504,16
505,21
506,15
507,20
508,18
509,15
510,14
511,12
512,12
513,11
514,15
515,13
516,14
517,16
518,9
519,14
520,7
521,10
522,10
523,14
524,11
525,14
526,10
527,16
528,13
529,16
530,16
531,12
532,16
533,14
534,12
535,10
536,12
537,8
538,12
539,13
540,11
541,16
542,6
543,14
544,12
545,9
546,11
547,10
548,9
549,10
550,15
551,12
552,9
553,12
554,13
555,5
556,9
557,8
558,7
559,13
560,18
561,12
562,12
563,13
564,14
565,13
566,9
567,6
568,4
569,14
570,10
571,12
572,14
573,10
574,9
575,11
576,12
577,8
578,9
579,10
580,10
581,13
582,8
583,11
584,9
585,6
586,9
587,10
588,10
589,5
590,7
591,13
592,7
593,14
594,11
595,6
596,8
597,9
598,9
599,8
600,6
601,7
602,8
603,6
604,8
605,7
606,11
607,10
608,9
609,8
610,4
611,14
612,3
613,6
614,7
615,5
616,7
617,10
618,5
619,4
620,8
621,5
622,9
623,7
624,6
625,8
626,9
627,7
628,6
629,7
630,6
631,5
632,6
633,2
634,9
635,6
636,8
637,7
638,8
639,7
640,3
641,4
642,9
643,8
644,7
645,14
646,3
647,6
648,3
649,5
650,9
651,9
652,6
653,8
654,2
655,7
656,6
657,4
658,3
659,8
660,1
661,8
662,1
664,9
665,6
666,5
667,8
668,3
669,3
670,6
671,3
672,6
673,2
674,3
675,4
676,6
677,4
678,3
679,6
680,2
681,6
682,7
683,3
684,8
685,5
686,3
687,5
688,2
689,2
690,3
691,5
692,4
693,2
694,3
695,7
696,2
697,1
699,8
700,3
701,2
702,3
703,5
704,5
705,3
706,4
707,2
708,4
709,3
710,2
711,4
712,1
713,3
714,1
715,2
716,4
717,2
718,2
719,4
720,3
721,1
722,4
723,4
724,4
725,1
726,5
727,5
728,1
729,1
730,5
731,1
732,3
733,1
734,2
735,3
736,5
737,5
738,2
739,5
740,2
741,3
742,7
743,4
745,2
746,2
747,2
748,1
749,3
750,1
751,1
752,1
753,3
754,2
755,7
756,1
759,2
760,3
761,1
762,1
763,5
764,3
765,2
766,6
767,6
768,2
769,1
770,2
771,2
773,3
774,1
775,1
776,1
778,2
779,7
780,2
781,3
782,2
783,1
784,2
786,2
787,1
788,2
789,1
791,3
792,3
793,1
794,3
795,2
796,3
798,1
799,1
800,2
801,3
802,2
803,3
804,3
805,1
806,2
808,2
809,1
811,5
812,2
814,1
815,1
816,1
818,1
819,5
820,3
821,2
822,1
824,2
825,3
826,1
827,2
829,2
831,1
832,1
833,2
834,3
837,2
838,1
839,2
842,1
844,2
846,1
849,1
851,1
853,2
854,1
855,5
858,1
859,1
860,2
861,1
864,1
865,1
867,1
868,1
869,1
873,2
874,2
875,1
876,1
877,1
878,1
880,1
881,2
882,1
883,1
884,1
886,1
887,1
892,1
894,2
896,1
897,1
899,1
900,1
902,2
904,1
907,2
908,1
915,1
919,1
920,1
921,1
922,1
923,1
924,2
927,2
929,1
931,1
932,1
933,1
934,1
935,1
936,2
937,1
938,1
939,1
941,1
944,1
946,1
947,1
954,1
958,1
961,1
962,1
963,2
970,1
971,1
974,1
976,1
978,1
981,1
982,1
986,1
988,1
994,1
995,2
999,2
1001,1
1008,1
1011,1
1012,1
1013,1
1017,1
1020,1
1022,2
1024,1
1028,1
1030,1
1031,1
1033,1
1043,1
1046,1
1051,1
1054,1
1055,1
1056,1
1080,1
1082,1
1098,1
1102,1
1117,1
1129,1
1139,1
1148,1
1153,1
1181,1
1197,1
1199,1
1237,1
1249,1
1250,1
1281,1
1288,1
1295,1
1376,1
