# minplus histogram
# N=4  p=0.5000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000002000024  wall=0.024s
value,count
1,6989
2,4242
3,3119
4,2531
5,2218
6,1849
7,1671
8,1433
9,1374
10,1196
11,1130
12,1087
13,971
14,908
15,916
16,866
17,783
18,781
19,742
20,667
21,667
22,641
23,594
24,588
25,583
26,528
27,518
28,517
29,495
30,478
31,460
32,466
33,440
34,459
35,447
36,398
37,388
38,436
39,390
40,377
41,383
42,383
43,362
44,340
45,327
46,348
47,344
48,354
49,350
50,369
51,358
52,300
53,280
54,291
55,301
56,319
57,289
58,260
59,277
60,269
61,257
62,260
63,265
64,243
65,257
66,256
67,232
68,254
69,252
70,254
71,220
72,221
73,223
74,219
75,194
76,233
77,198
78,203
79,219
80,224
81,216
82,215
83,222
84,189
85,198
86,210
87,211
88,221
89,190
90,196
91,186
92,204
93,201
94,188
95,171
96,186
97,188
98,175
99,179
100,173
101,193
102,164
103,179
104,179
105,178
106,159
107,183
108,177
109,146
110,166
111,144
112,152
113,165
114,170
115,162
116,160
117,160
118,141
119,147
120,138
121,144
122,144
123,145
124,161
125,143
126,140
127,136
128,146
129,123
130,142
131,121
132,144
133,131
134,129
135,135
136,154
137,123
138,148
139,129
140,137
141,125
142,137
143,134
144,135
145,135
146,121
147,138
148,129
149,109
150,137
151,116
152,122
153,106
154,140
155,109
156,119
157,111
158,111
159,125
160,104
161,126
162,118
163,120
164,114
165,111
166,106
167,108
168,114
169,110
170,108
171,94
172,120
173,120
174,97
175,113
176,109
177,101
178,105
179,109
180,97
181,113
182,108
183,103
184,108
185,108
186,113
187,109
188,98
189,92
190,117
191,103
192,89
193,97
194,101
195,100
196,92
197,89
198,73
199,88
200,97
201,93
202,87
203,85
204,94
205,85
206,108
207,89
208,87
209,78
210,87
211,67
212,96
213,69
214,69
215,96
216,88
217,106
218,80
219,87
220,73
221,88
222,73
223,87
224,79
225,70
226,77
227,85
228,71
229,62
230,94
231,86
232,71
233,72
234,83
235,79
236,72
237,61
238,56
239,60
240,97
241,78
242,79
243,73
244,62
245,55
246,83
247,70
248,84
249,74
250,78
251,82
252,63
253,76
254,76
255,70
256,80
257,58
258,88
259,61
260,63
261,75
262,65
263,78
264,61
265,82
266,68
267,65
268,70
269,84
270,66
271,57
272,92
273,83
274,61
275,69
276,68
277,63
278,70
279,70
280,72
281,67
282,60
283,65
284,69
285,71
286,56
287,68
288,60
289,61
290,63
291,56
292,55
293,68
294,59
295,76
296,53
297,66
298,63
299,69
300,66
301,61
302,52
303,66
304,56
305,62
306,63
307,64
308,61
309,68
310,58
311,69
312,56
313,64
314,60
315,66
316,53
317,49
318,56
319,68
320,60
321,50
322,51
323,55
324,58
325,71
326,60
327,53
328,55
329,50
330,45
331,49
332,60
333,54
334,67
335,59
336,65
337,57
338,44
339,48
340,48
341,47
342,64
343,57
344,55
345,47
346,49
347,46
348,39
349,33
350,54
351,46
352,44
353,56
354,38
355,59
356,50
357,46
358,65
359,53
360,42
361,51
362,54
363,58
364,59
365,51
366,27
367,49
368,69
369,55
370,43
371,44
372,42
373,52
374,53
375,44
376,56
377,52
378,55
379,46
380,42
381,54
382,42
383,59
384,45
385,41
386,43
387,53
388,43
389,48
390,43
391,48
392,45
393,47
394,60
395,51
396,44
397,38
398,48
399,36
400,36
401,45
402,43
403,47
404,52
405,43
406,34
407,43
408,49
409,37
410,41
411,46
412,46
413,41
414,33
415,31
416,44
417,40
418,39
419,47
420,42
421,40
422,31
423,39
424,40
425,45
426,42
427,59
428,31
429,35
430,36
431,37
432,38
433,30
434,38
435,39
436,33
437,33
438,51
439,25
440,43
441,44
442,48
443,35
444,42
445,48
446,39
447,37
448,39
449,46
450,35
451,29
452,53
453,30
454,35
455,46
456,40
457,45
458,38
459,35
460,44
461,51
462,31
463,35
464,45
465,34
466,29
467,43
468,35
469,29
470,32
471,37
472,31
473,46
474,43
475,40
476,39
477,43
478,32
479,45
480,32
481,36
482,43
483,34
484,24
485,28
486,36
487,33
488,27
489,40
490,33
491,33
492,28
493,27
494,27
495,29
496,27
497,32
498,33
499,32
500,39
501,28
502,34
503,26
504,26
505,24
506,51
507,27
508,35
509,28
510,31
511,35
512,36
513,33
514,29
515,33
516,33
517,35
518,35
519,39
520,29
521,28
522,30
523,34
524,35
