# minplus histogram
# N=21  p=0.4821428571  q=0.0000000000  M=100000  leaves=5  seed=0x0000000000705610  wall=1715.344s
value,count
1,7626
2,4519
3,3315
4,2583
5,2092
6,1793
7,1588
8,1373
9,1202
10,1137
11,1053
12,920
13,846
14,842
15,782
16,719
17,686
18,650
19,659
20,589
21,584
22,547
23,552
24,481
25,473
26,453
27,415
28,437
29,443
30,386
31,405
32,369
33,371
34,385
35,333
36,343
37,328
38,313
39,332
40,288
41,271
42,286
43,245
44,291
45,261
46,275
47,217
48,281
49,237
50,246
51,232
52,230
53,228
54,237
55,182
56,232
57,230
58,236
59,212
60,185
61,208
62,191
63,204
64,204
65,167
66,177
67,165
68,198
69,176
70,167
71,156
72,195
73,152
74,151
75,156
76,152
77,153
78,180
79,163
80,148
81,141
82,170
83,154
84,133
85,138
86,150
87,149
88,144
89,149
90,141
91,124
92,132
93,125
94,124
95,118
96,127
97,107
98,135
99,117
100,138
101,100
102,98
103,118
104,123
105,111
106,114
107,112
108,113
109,103
110,121
111,94
112,110
113,101
114,105
115,130
116,108
117,103
118,95
119,87
120,108
121,87
122,126
123,99
124,96
125,105
126,100
127,89
128,78
129,95
130,94
131,88
132,108
133,113
134,85
135,69
136,80
137,93
138,91
139,88
140,86
141,67
142,77
143,86
144,69
145,94
146,87
147,87
148,65
149,64
150,79
151,86
152,67
153,74
154,68
155,75
156,81
157,69
158,59
159,78
160,76
161,77
162,73
163,74
164,75
165,83
166,71
167,69
168,66
169,71
170,76
171,66
172,70
173,80
174,73
175,59
176,54
177,85
178,62
179,61
180,57
181,73
182,72
183,57
184,52
185,56
186,62
187,52
188,57
189,57
190,64
191,54
192,77
193,55
194,55
195,64
196,50
197,57
198,49
199,64
200,56
201,62
202,56
203,59
204,62
205,72
206,63
207,52
208,53
209,62
210,58
211,62
212,48
213,58
214,53
215,56
216,52
217,74
218,51
219,45
220,67
221,61
222,57
223,44
224,53
225,44
226,58
227,64
228,57
229,38
230,69
231,33
232,58
