# minplus histogram
# N=13  p=0.4000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000030480040  wall=5.901s
value,count
1,33440
2,15087
3,9147
4,6464
5,4751
6,3719
7,2938
8,2463
9,1953
10,1691
11,1511
12,1324
13,1160
14,1101
15,937
16,754
17,728
18,642
19,599
20,549
21,531
22,418
23,407
24,353
25,365
26,312
27,325
28,285
29,289
30,241
31,235
32,252
33,225
34,200
35,197
36,195
37,187
38,170
39,164
40,157
41,152
42,124
43,121
44,105
45,112
46,117
47,113
48,94
49,91
50,109
51,98
52,62
53,71
54,72
55,73
56,71
57,64
58,60
59,62
60,64
61,56
62,57
63,56
64,42
65,54
66,49
67,50
68,43
69,36
70,45
71,33
72,36
73,35
74,20
75,40
76,23
77,30
78,32
79,30
80,27
81,23
82,33
83,27
84,22
85,23
86,23
87,17
88,18
89,20
90,26
91,28
92,18
93,17
94,17
95,18
96,12
97,20
98,17
99,13
100,18
101,17
102,15
103,11
104,16
105,15
106,11
107,11
108,7
109,9
110,9
111,15
112,14
113,11
114,10
115,5
116,11
117,4
118,4
119,9
120,8
121,7
122,15
123,3
124,3
125,9
126,6
127,3
128,7
129,1
130,2
131,2
132,8
133,1
134,1
135,7
136,2
137,8
138,6
139,1
141,3
142,5
143,1
144,7
145,2
146,5
147,3
148,2
149,2
150,4
151,2
152,3
153,3
154,4
155,2
157,3
158,4
159,2
161,2
162,3
163,4
164,1
165,1
166,4
167,1
168,3
169,3
170,5
171,3
172,2
174,4
175,1
176,4
177,3
178,2
180,2
181,2
182,1
184,1
185,1
187,2
188,2
189,2
190,1
191,2
192,3
194,1
195,1
197,2
198,1
200,2
201,3
203,2
204,1
205,2
206,3
208,1
209,1
211,2
212,2
215,1
217,2
220,1
221,1
223,1
224,3
225,2
227,1
229,1
231,1
233,1
240,1
241,1
242,1
247,1
248,1
251,1
254,1
256,1
264,2
266,2
267,1
268,1
274,1
276,1
282,1
290,1
299,1
300,1
301,1
303,1
309,1
334,1
342,1
351,1
353,1
359,1
414,1
511,1
