# minplus histogram
# N=12  p=0.6000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000603200600  wall=2.547s
value,count
1,15
2,19
3,9
4,16
5,13
6,9
7,19
8,15
9,9
10,11
11,9
12,9
13,7
14,8
15,6
16,7
17,9
18,5
19,5
20,4
21,8
22,9
23,6
24,4
25,6
26,19
27,7
28,4
29,7
30,7
31,4
32,7
33,7
34,6
35,10
36,8
37,8
38,10
39,7
40,9
41,4
42,3
43,9
44,1
45,7
46,6
47,6
48,6
49,2
50,9
51,9
52,6
53,9
54,2
55,9
56,10
57,5
58,4
59,8
60,1
61,7
62,3
63,6
64,10
65,3
66,9
67,9
68,7
69,4
70,3
71,9
72,6
73,8
74,6
75,6
76,7
77,6
78,8
79,5
80,1
81,8
82,6
83,5
84,3
85,7
86,5
87,9
88,4
89,6
90,2
91,4
92,11
93,5
94,7
95,6
96,8
97,4
98,5
99,7
100,6
101,9
102,6
103,3
104,5
105,3
106,3
107,8
108,6
109,2
110,1
111,1
112,2
113,2
114,1
115,1
116,3
117,5
118,8
119,2
121,6
122,4
123,7
124,3
125,5
126,4
127,8
128,4
129,3
130,2
131,8
132,2
133,4
134,4
135,4
136,2
137,2
138,2
140,4
141,6
142,5
143,3
144,3
145,3
146,1
147,2
148,5
149,5
150,7
151,2
152,3
153,4
154,7
155,4
156,4
157,7
158,7
159,6
160,5
161,5
162,3
163,4
164,5
165,7
166,5
167,4
168,2
169,6
170,2
171,5
172,1
173,4
174,3
175,2
176,2
177,3
178,3
179,1
180,3
181,3
182,5
183,1
184,5
185,2
186,5
187,9
188,3
189,1
190,3
191,4
192,4
193,3
194,7
195,7
196,4
197,3
198,2
199,3
200,2
201,4
202,2
203,2
204,2
205,2
206,2
207,2
208,3
209,3
210,3
211,7
212,2
213,4
214,8
215,4
216,3
217,2
218,2
219,5
220,4
221,1
222,7
223,2
224,5
225,2
226,5
227,4
228,1
229,5
230,1
231,2
232,4
233,6
234,4
235,5
236,6
237,6
238,3
239,3
240,2
241,4
242,5
243,2
244,2
245,1
246,3
247,2
248,6
249,5
250,3
251,6
252,4
253,3
254,2
255,7
256,3
257,2
258,3
259,3
260,1
261,2
262,3
263,7
264,3
265,4
266,3
267,1
268,4
269,4
270,3
271,5
272,1
273,1
274,3
275,4
276,5
277,3
278,5
279,1
280,5
281,5
282,3
283,4
284,6
285,3
286,5
287,1
288,5
289,2
290,6
291,4
292,5
293,2
294,5
295,3
296,3
297,2
298,5
299,3
300,3
301,6
302,4
303,2
304,4
305,4
307,3
308,3
309,2
312,1
313,4
314,3
315,1
316,3
317,3
318,3
319,6
320,3
321,3
322,2
323,6
324,8
325,2
326,2
327,1
328,2
329,7
330,4
331,6
333,1
334,3
335,1
336,3
337,2
339,4
340,4
341,6
342,1
343,1
344,1
345,4
346,4
348,2
349,5
350,3
351,3
352,1
353,6
354,4
355,4
356,1
357,4
358,4
359,1
360,4
361,3
362,1
363,5
364,3
365,2
366,2
367,1
368,2
369,3
370,6
371,3
372,1
373,3
374,1
375,4
376,5
377,3
378,3
379,3
380,2
381,9
382,5
383,2
385,2
386,7
388,4
389,2
390,4
391,3
392,4
393,2
394,4
395,4
396,6
397,1
398,1
399,3
400,2
401,4
403,2
404,3
405,4
406,3
407,5
408,6
409,4
410,3
411,5
412,4
413,6
415,5
416,2
417,2
418,5
419,3
420,1
421,4
422,4
423,2
424,2
426,4
427,6
428,6
429,3
430,3
432,1
433,7
434,6
435,2
436,3
437,1
439,3
440,1
441,1
442,6
443,2
444,2
445,2
447,2
448,2
449,1
450,6
452,3
453,4
454,5
455,2
456,1
457,2
458,1
459,3
460,6
461,1
462,1
463,4
465,3
466,4
467,4
468,3
469,1
470,3
471,2
472,2
473,1
474,4
475,6
476,1
477,3
478,2
479,1
480,2
481,5
482,1
483,2
484,2
485,2
486,2
487,3
488,3
489,2
490,2
491,4
492,5
493,7
494,1
496,1
497,3
498,2
499,1
500,4
501,3
502,2
503,3
504,2
505,3
506,3
507,5
508,1
509,2
510,4
511,5
513,6
514,7
515,4
516,2
517,4
518,2
519,1
520,3
521,2
522,1
524,1
525,2
526,2
527,1
528,3
529,1
530,3
531,3
532,4
533,1
534,1
535,2
536,3
537,3
538,2
539,3
540,6
541,5
542,2
543,3
545,3
546,2
548,1
549,3
550,1
551,1
552,1
553,5
554,3
555,2
556,5
557,3
558,6
559,2
560,2
561,3
563,1
564,2
565,4
566,4
567,5
568,2
570,1
571,1
572,3
573,1
574,3
577,2
578,5
579,2
580,1
581,1
582,5
584,4
585,1
586,1
587,1
588,3
589,4
590,5
591,4
592,3
593,1
594,2
595,4
596,5
597,3
598,2
599,1
600,2
601,4
602,2
603,3
604,1
605,5
606,4
607,1
608,4
609,5
610,5
611,3
612,1
613,1
614,1
615,1
616,4
617,5
619,4
620,2
621,2
622,4
623,2
624,2
625,3
626,4
627,3
628,1
629,3
630,7
631,2
632,4
633,1
634,3
635,1
636,1
637,4
638,3
639,3
640,3
641,6
643,1
644,4
645,4
646,1
647,2
648,4
649,2
650,6
651,3
652,1
654,1
655,2
656,1
658,2
659,2
660,3
662,3
663,1
665,2
666,4
667,1
668,3
669,2
670,2
671,5
672,3
673,5
674,1
675,1
676,4
677,3
678,2
679,3
680,2
681,2
682,3
683,2
684,3
685,2
686,2
687,3
688,2
689,3
690,3
691,2
692,1
693,2
694,3
696,4
697,1
698,3
699,1
700,4
701,2
703,1
704,2
705,1
706,6
707,1
709,3
710,2
711,2
712,2
713,3
714,2
715,3
717,2
718,2
719,2
720,8
721,2
722,2
724,2
725,1
726,1
727,3
728,3
729,2
730,1
731,4
732,1
733,1
734,3
735,4
736,2
737,2
738,3
739,4
740,4
741,4
742,1
743,1
744,3
745,4
746,2
747,1
748,1
749,1
750,3
751,2
752,2
753,1
754,5
755,3
756,2
757,2
758,8
759,3
761,4
762,5
763,1
764,3
765,2
766,3
767,4
768,1
769,2
770,1
771,6
772,4
773,1
774,3
775,4
776,2
777,2
778,3
779,3
780,5
781,4
782,1
784,1
785,3
786,1
788,3
789,1
790,3
791,1
793,2
794,3
795,4
796,4
797,4
798,2
799,3
800,2
801,3
802,2
803,2
804,3
805,2
806,3
807,3
808,4
809,3
810,4
811,3
812,3
813,2
814,4
815,2
816,2
817,5
818,5
819,2
820,1
821,1
822,1
823,2
825,3
826,4
827,4
829,2
830,5
831,2
832,1
833,1
834,5
835,2
836,1
838,1
839,2
840,4
841,6
842,3
843,4
844,2
845,3
847,1
848,1
849,4
850,2
851,3
852,3
853,1
854,3
855,2
856,2
857,2
858,3
859,1
860,2
861,3
862,3
863,2
864,3
865,2
866,3
867,2
869,5
870,5
871,2
872,2
873,1
874,4
875,5
876,2
877,3
878,3
880,1
881,2
882,1
883,2
884,1
885,3
887,2
888,2
889,1
890,1
891,2
892,2
893,4
894,2
895,2
896,5
898,1
899,3
900,2
902,1
903,4
904,3
905,1
906,1
907,2
908,2
909,2
910,3
911,4
912,3
913,2
915,2
917,2
919,4
920,1
921,7
922,2
923,1
925,3
926,2
927,3
928,1
929,3
930,6
931,1
932,6
933,2
934,5
935,5
936,3
937,4
938,2
939,4
940,1
941,1
942,1
943,2
944,2
946,2
947,2
948,2
950,2
953,2
955,3
956,2
957,1
958,4
959,4
960,4
961,3
962,2
964,5
965,5
966,5
967,1
968,4
969,2
970,2
971,1
972,2
973,2
974,4
975,4
977,1
978,1
979,1
980,4
981,1
983,2
984,3
985,1
986,2
987,2
988,1
989,3
990,2
991,3
992,1
993,1
994,2
995,2
996,2
997,5
998,4
999,2
1000,3
1001,2
1002,4
1003,4
1005,3
1007,2
1008,2
1010,1
1011,2
1012,2
1013,2
1014,3
1016,3
1017,3
1018,4
1020,6
1021,2
1022,4
1023,1
1024,1
1025,2
1026,1
1027,2
1028,5
1029,3
1030,1
1032,2
1033,6
1034,1
1035,3
1036,1
1037,1
1038,4
1039,1
1040,2
1041,2
1042,1
1043,3
1044,2
1045,4
1046,1
1047,1
1048,5
1049,3
1050,2
1051,4
1052,2
1053,1
1054,2
1055,1
1056,2
1057,4
1060,1
1061,1
1062,1
1063,1
1064,1
1065,2
1066,2
1067,1
1068,1
1069,4
1070,5
1071,2
1073,5
1074,3
1075,1
1076,1
1077,2
1078,1
1079,9
1080,2
1081,3
1082,4
1083,5
1087,1
1088,1
1089,4
1090,1
1092,1
1094,2
1095,2
1096,2
1097,1
1098,2
1099,2
1100,2
1101,1
1102,3
1103,2
1105,2
1108,2
1110,1
1111,2
1112,1
1113,1
1114,4
1115,1
1116,1
1117,4
1118,3
1119,2
1120,4
1121,1
1122,3
1123,4
1125,2
1126,1
1128,1
1129,3
1130,1
1131,1
1132,1
1133,3
1134,2
1135,4
1136,1
1137,3
1138,1
1139,1
1140,3
1141,2
1142,5
1143,1
1144,3
1145,4
1146,1
1147,4
1148,1
1149,2
1150,2
1151,2
1152,1
1153,2
1154,4
1155,1
1156,7
1157,1
1158,7
1159,3
1160,1
1161,3
1162,3
1164,3
1165,2
1167,1
1168,3
1169,1
1170,1
1171,2
1172,1
1173,1
1174,3
1175,3
1176,3
1180,2
1182,3
1183,2
1184,2
1186,1
1187,3
1188,1
1189,2
1190,4
1191,2
1192,2
1193,1
1194,3
1195,1
1196,1
1197,4
1199,4
1200,1
1201,1
1202,1
1203,1
1204,2
1206,1
1207,2
1208,2
1209,3
1212,2
1213,1
1214,1
1215,6
1216,1
1218,4
1219,1
1220,3
1221,1
1222,3
1223,2
1224,1
1225,2
1227,2
1228,2
1229,1
1230,1
1231,2
1232,2
1233,3
1236,2
1237,4
1238,1
1239,1
1240,1
1241,2
1242,3
1244,3
1245,1
1246,1
1247,3
1248,1
1249,6
1250,2
1251,2
1252,1
1253,1
1254,5
1255,1
1256,3
1257,1
1259,1
1261,4
1262,1
1264,2
1265,1
1266,3
1267,3
1268,2
1269,2
1271,3
1273,4
1274,2
1275,4
1276,4
1277,2
1278,3
1279,1
1280,3
1281,2
1282,2
1283,2
1284,2
1287,3
1288,2
1289,1
1290,3
1291,3
1292,2
1293,2
1294,3
1295,3
1296,3
1298,1
1299,1
1301,4
1303,2
1304,2
1306,5
1307,1
1308,3
1309,5
1310,1
1311,4
1312,4
1313,1
1314,1
1315,2
1316,2
1317,1
1318,3
1319,1
1320,3
1321,2
1322,2
1323,1
1324,3
1325,1
1326,4
1327,2
1328,1
1329,1
1330,1
1331,7
1332,5
1333,3
1334,5
1335,1
1336,3
1337,1
1338,1
1339,3
1340,2
1341,1
1343,1
1345,2
1346,2
1347,3
1348,2
1349,1
1350,2
1351,1
1352,2
1353,4
1355,3
1356,3
1357,4
1358,2
1359,1
1360,1
1361,2
1362,4
1363,1
1364,4
1365,3
1366,1
1367,2
1368,4
1370,3
1371,3
1374,1
1375,4
1376,5
1377,1
1378,1
1379,3
1380,1
1381,2
1382,1
1383,3
1384,1
1385,1
1386,2
1388,1
1389,3
1390,1
1391,1
1392,2
1393,2
1395,2
1396,2
1398,2
1399,1
1400,2
1401,4
1402,2
1403,1
1404,2
1406,1
1407,1
1408,2
1409,1
1410,5
1411,2
1412,2
1413,1
1414,4
1415,5
1416,2
1417,1
1418,4
1419,4
1420,3
1422,2
1423,1
1424,1
1425,4
1426,1
1427,1
1428,3
1429,2
1431,2
1432,7
1433,2
1434,1
1435,3
1437,2
1438,1
1440,2
1441,3
1442,2
1443,4
1445,3
1446,2
1447,1
1448,2
1449,1
1450,1
1451,1
1454,1
1456,3
1457,9
1458,4
1459,2
1461,1
1462,2
1463,5
1464,1
1465,1
1466,3
1467,1
1468,5
1469,2
1473,2
1474,1
1475,1
1476,1
1477,3
1478,2
1479,3
1480,1
1481,4
1482,3
1483,4
1484,1
1485,3
1486,1
1487,3
1488,2
1489,1
1490,5
1491,4
1492,4
1493,3
1495,3
1496,2
1497,2
1499,6
1500,2
1501,2
1502,3
1503,4
1505,1
1506,5
1507,4
1508,1
1510,2
1511,2
1513,3
1514,3
1516,1
1517,2
1518,1
1521,2
1522,4
1523,4
1524,2
1526,2
1527,1
1528,5
1530,1
1531,1
1532,2
1533,2
1534,4
1535,5
1536,1
1537,2
1538,3
1539,4
1540,3
1541,3
1542,4
1543,5
1544,2
1545,3
1546,1
1547,1
1548,2
1549,3
1550,2
1551,1
1552,1
1553,2
1554,2
1555,1
1556,1
1557,3
1558,2
1559,1
1561,1
1562,3
1563,2
1565,5
1566,2
1567,1
1568,1
1569,1
1571,3
1572,2
1573,3
1574,3
1575,1
1576,1
1577,3
1578,2
1579,1
1581,2
