# minplus histogram
# N=5  p=0.6000000000  q=0.0000000000  M=100000  leaves=5  seed=0x0000000604000600  wall=0.073s
value,count
1,4
2,2
3,8
4,3
5,3
6,1
7,2
8,4
9,2
11,1
12,4
13,2
14,2
15,1
16,3
18,3
20,3
21,1
22,1
23,2
24,3
25,1
26,2
27,2
28,2
30,1
31,1
32,2
33,2
35,2
36,1
37,2
38,1
39,1
40,2
42,1
43,1
44,3
46,3
47,1
48,2
49,2
51,1
52,1
53,1
54,1
55,1
56,1
58,2
59,2
61,2
62,1
63,1
65,1
66,1
67,1
68,2
70,2
72,2
74,1
75,2
78,2
80,1
81,1
84,1
88,1
89,1
90,1
91,4
92,1
94,1
97,1
98,2
99,1
100,1
101,1
102,1
107,1
109,1
112,1
114,1
116,1
119,1
121,1
122,1
124,2
125,2
127,1
131,1
135,2
137,2
138,1
139,2
141,1
143,3
144,3
145,1
147,1
148,4
151,1
153,1
154,2
158,1
159,1
161,2
162,1
163,1
165,1
168,1
170,1
174,1
175,3
176,1
177,2
179,1
180,1
181,1
183,3
184,1
185,2
188,1
190,1
191,1
192,1
193,2
195,1
197,1
198,2
201,1
202,1
204,1
206,1
207,1
208,1
209,1
211,1
213,1
215,1
217,1
219,1
221,1
222,1
225,1
227,1
228,3
230,2
231,1
232,1
233,1
238,1
241,1
244,1
245,1
246,2
247,1
248,1
254,1
261,1
263,1
265,1
268,2
271,1
272,2
273,2
274,1
275,1
278,1
279,1
281,1
282,1
283,1
288,1
289,4
291,1
292,2
294,2
297,1
300,1
305,1
307,1
308,1
309,2
311,2
315,1
317,1
318,4
322,2
323,1
324,1
327,2
331,1
333,1
334,1
335,1
336,2
338,1
340,1
342,2
345,1
346,1
347,1
348,1
350,1
352,1
357,1
359,1
360,1
361,2
362,1
365,1
377,1
379,1
385,1
386,2
388,1
397,1
398,1
403,1
405,1
412,1
414,1
416,1
420,1
424,1
425,1
426,1
428,2
434,1
435,1
436,1
437,1
439,1
441,1
442,1
443,1
444,1
445,2
446,1
450,1
452,4
454,1
455,2
458,1
462,1
464,3
465,1
468,1
469,3
470,2
472,1
473,1
479,1
483,2
488,1
490,1
491,1
493,1
496,1
498,1
502,1
503,1
505,2
506,1
509,1
510,1
513,1
515,1
521,1
525,4
527,1
528,1
531,1
536,1
539,1
542,2
546,1
549,1
552,1
553,1
556,1
557,2
560,1
564,1
566,1
567,1
568,1
573,1
577,1
580,1
584,1
589,3
591,2
593,1
596,1
597,1
598,1
601,1
604,1
608,1
616,1
618,1
630,1
633,1
639,1
640,1
645,2
646,1
648,1
650,1
654,2
656,2
658,2
660,1
662,1
663,1
664,1
665,1
666,1
667,1
669,1
672,1
675,1
679,1
685,1
686,2
687,1
688,1
689,2
692,1
694,1
697,1
699,1
701,1
707,2
710,4
716,1
718,1
719,1
721,1
723,1
726,1
731,1
740,1
742,1
745,1
753,1
757,1
760,1
761,1
765,1
766,2
768,1
780,1
785,1
786,1
787,2
789,1
800,1
803,2
813,2
818,2
820,2
821,1
825,3
828,2
830,1
831,1
832,1
839,1
843,1
846,1
849,1
850,2
860,2
864,1
867,1
870,1
876,1
877,1
881,1
882,1
883,1
890,1
891,1
892,1
893,1
898,1
899,1
903,1
907,1
908,1
910,3
914,1
916,1
917,1
918,1
920,1
922,1
923,3
930,1
931,1
933,1
936,1
941,1
945,1
950,1
952,1
955,1
957,1
960,1
962,1
967,1
968,1
